obs,train,val,time_elapsed_seconds
500,0.0005488191381197811,0.000545274847324608,9081.981129407883
1000,0.0003546948848838935,0.0003538184275551063,9094.712660551071
1500,0.0006287028173884156,0.0007327234123557136,18748.72700405121
2000,0.0002877356870604424,0.00027692160723078596,7330.695094347
5000,0.00023654819181446017,0.00024116766709965864,7344.047016620636
