obs,train,val,time_elapsed_seconds
500,7.497793805316162e-05,0.00010546269480043693,4429.970151185989
1000,7.10186911384411e-05,8.148824454058684e-05,4821.27383518219
1500,6.20599428439475e-05,7.064689359144067e-05,4807.375104188919
2000,7.794339188787097e-05,8.310583477309067e-05,4819.466105461121
5000,7.77245047814432e-05,6.071889900926902e-05,4810.473598241806
